Indice;Fecha_larga;Fecha_AAAAMMDD;B1;B2;B3;B4;B5;B6;C;R;Recaudación;Bote;ACE;PCE;AC1;PC1;AC2;PC2;AC3;PC3;AC4;PC4;AC5;PC5;ACR;PCR
91; Resultado del  sábado 19 de octubre de 2019;20191019; 03; 10; 17; 26; 39; 49;25;8;11.906.359,00;10.400.000;0;0,00;1;1.451.243,82;6;36.281,10;207;2.278,52;11.691;65,17;216.219;8,00;1.198.792;1,00
92; Resultado del  jueves 17 de octubre de 2019;20191017; 02; 16; 28; 36; 38; 43;07;2;12.594.645,00;9.700.000;0;0,00;1;1.652.866,50;2;123.964,99;160;3.357,39;9.936;87,33;191.928;8,00;1.239.247;1,00
93; Resultado del  sábado 12 de octubre de 2019;20191012; 08; 20; 26; 27; 47; 48;34;2;11.540.616,00;7.500.000;0;0,00;0;0,00;5;44.681,44;157;3.083,11;8.939;87,47;183.728;8,00;1.121.177;1,00
94; Resultado del  jueves 10 de octubre de 2019;20191010; 11; 20; 22; 26; 27; 43;31;5;12.742.450,00;6.700.000;0;0,00;1;1.587.897,00;3;79.394,85;188;2.745,03;11.136;74,86;220.545;8,00;1.370.474;1,00
95; Resultado del  sábado 5 de octubre de 2019;20191005; 02; 07; 21; 24; 30; 42;32;8;11.930.647,00;6.000.000;0;0,00;1;1.359.225,26;1;203.883,79;278;1.589,02;13.831;51,59;246.341;8,00;1.204.732;1,00
96; Resultado del  jueves 3 de octubre de 2019;20191003; 10; 19; 20; 25; 39; 42;46;8;12.457.710,00;5.000.000;0;0,00;1;1.599.162,20;6;39.979,06;178;2.919,82;10.498;79,97;201.008;8,00;1.246.344;1,00
97; Resultado del  sábado 28 de septiembre de 2019;20190928; 10; 15; 21; 22; 42; 43;19;5;11.662.363,00;4.200.000;0;0,00;1;1.435.871,74;4;53.845,19;164;2.845,48;10.308;73,13;207.298;8,00;1.257.298;1,00
98; Resultado del  jueves 26 de septiembre de 2019;20190926; 10; 16; 28; 37; 39; 40;01;9;11.807.185,00;0;0;0,00;0;0,00;1;239.287,76;137;3.784,36;8.260;101,39;165.638;8,00;1.143.628;1,00
99; Resultado del  sábado 21 de septiembre de 2019;20190921; 10; 14; 22; 26; 27; 36;47;6;11.788.455,00;8.000.000;2;3.414.709,22;7;204.488,67;1;204.488,67;210;2.201,53;12.173;61,35;218.560;8,00;1.186.961;1,00
100; Resultado del  jueves 19 de septiembre de 2019;20190919; 10; 20; 29; 30; 33; 41;24;5;12.367.444,00;7.300.000;0;0,00;2;812.684,36;2;121.902,66;160;3.301,53;10.290;82,93;187.741;8,00;1.332.879;1,00
101; Resultado del  sábado 14 de septiembre de 2019;20190914; 16; 32; 34; 36; 45; 46;21;3;11.621.012,00;4.900.000;0;0,00;0;0,00;1;230.319,80;166;3.006,18;9.256;87,09;173.849;8,00;1.185.573;1,00
102; Resultado del  jueves 12 de septiembre de 2019;20190912; 03; 10; 16; 27; 34; 37;30;5;12.140.750,00;4.200.000;0;0,00;2;760.227,50;2;114.034,13;164;3.013,10;11.295;70,67;207.775;8,00;1.302.121;1,00
103; Resultado del  sábado 7 de septiembre de 2019;20190907; 25; 31; 37; 39; 44; 49;10;2;11.333.554,00;0;0;0,00;0;0,00;6;37.367,39;129;3.765,71;8.746;89,72;170.420;8,00;1.102.828;1,00
104; Resultado del  jueves 5 de septiembre de 2019;20190905; 03; 10; 11; 13; 19; 31;40;5;12.193.332,00;2.700.000;1;1.370.727,71;3;446.126,85;1;200.757,08;348;1.249,92;16.675;42,14;267.631;8,00;1.298.998;1,00
105; Resultado del  sábado 31 de agosto de 2019;20190831; 08; 11; 12; 27; 41; 44;49;5;11.282.647,00;0;0;0,00;2;701.537,43;5;42.092,25;141;3.234,04;10.214;72,12;196.188;8,00;1.183.490;1,00
106; Resultado del  jueves 29 de agosto de 2019;20190829; 01; 02; 03; 28; 40; 43;17;6;12.382.203,00;12.300.000;1;10.951.341,85;1;1.567.180,54;4;58.769,27;170;2.996,08;9.875;83,32;206.755;8,00;1.250.278;1,00
107; Resultado del  sábado 24 de agosto de 2019;20190824; 03; 27; 29; 36; 37; 47;42;7;11.498.951,00;10.100.000;0;0,00;0;0,00;3;72.144,00;143;3.279,27;10.040;75,45;195.916;8,00;1.229.820;1,00
108; Resultado del  jueves 22 de agosto de 2019;20190822; 21; 24; 38; 39; 45; 46;29;5;12.033.301,00;9.200.000;0;0,00;2;796.432,29;3;79.643,23;137;3.778,69;9.077;92,13;179.103;8,00;1.253.502;1,00
109; Resultado del  sábado 17 de agosto de 2019;20190817; 01; 09; 14; 25; 28; 29;37;0;11.136.162,00;8.400.000;0;0,00;2;645.456,18;1;193.636,85;260;1.613,64;12.783;53,02;222.999;8,00;1.048.020;1,00
110; Resultado del  jueves 15 de agosto de 2019;20190815; 03; 05; 10; 21; 26; 49;02;3;11.282.505,00;7.800.000;0;0,00;2;621.665,45;12;15.541,64;320;1.262,76;14.593;44,73;246.100;8,00;1.152.052;1,00
111; Resultado del  sábado 10 de agosto de 2019;20190810; 09; 19; 22; 29; 37; 44;21;2;11.504.489,00;7.100.000;0;0,00;2;715.767,21;3;71.576,72;236;1.971,39;11.143;67,45;199.773;8,00;1.120.391;1,00
112; Resultado del  jueves 8 de agosto de 2019;20190808; 09; 21; 31; 35; 43; 47;17;5;12.084.160,00;4.800.000;0;0,00;0;0,00;5;46.775,04;196;2.585,36;10.507;77,91;192.494;8,00;1.252.884;1,00
113; Resultado del  sábado 3 de agosto de 2019;20190803; 10; 13; 27; 29; 37; 45;40;8;11.629.929,00;2.600.000;0;0,00;0;0,00;1;216.453,36;149;3.147,53;10.715;70,70;203.239;8,00;1.178.583;1,00
